Bird Species                             | Count
-------------------------------------------------------
Purple Martin                            | 1000
European Starling                        | 762
Ring-billed Gull                         | 719
Canada Goose                             | 648
American Robin                           | 532
Red-winged Blackbird                     | 412
Common Grackle                           | 363
Great Egret                              | 342
Mallard                                  | 297
Wood Duck                                | 272
Caspian Tern                             | 268
Chimney Swift                            | 220
Double-crested Cormorant                 | 219
Cedar Waxwing                            | 206
Killdeer                                 | 203
American Herring Gull                    | 188
House Sparrow                            | 179
American White Pelican                   | 164
Eurasian Collared-Dove                   | 154
Barn Swallow                             | 150
Blue-winged Teal                         | 143
Rock Pigeon                              | 138
Pectoral Sandpiper                       | 138
Least Sandpiper                          | 136
Monk Parakeet                            | 131
Mourning Dove                            | 122
Semipalmated Sandpiper                   | 115
House Finch                              | 113
Lesser Yellowlegs                        | 109
Spotted Sandpiper                        | 107
Great Blue Heron                         | 105
Tree Swallow                             | 98
Bank Swallow                             | 96
Cliff Swallow                            | 95
Dickcissel                               | 92
Blue Jay                                 | 90
Chipping Sparrow                         | 87
Sanderling                               | 84
Bobolink                                 | 83
Brown-headed Cowbird                     | 81
Hudsonian Godwit                         | 80
Song Sparrow                             | 79
Black-crowned Night Heron                | 77
Northern Rough-winged Swallow            | 76
American Goldfinch                       | 74
Eastern Kingbird                         | 74
Savannah Sparrow                         | 70
Common Nighthawk                         | 69
Mute Swan                                | 69
Northern Shoveler                        | 68
Northern Cardinal                        | 66
Willet                                   | 66
Red-headed Woodpecker                    | 64
Common Yellowthroat                      | 60
Sandhill Crane                           | 60
American Crow                            | 58
Eastern Wood-Pewee                       | 58
Turkey Vulture                           | 58
Stilt Sandpiper                          | 58
Short-billed Dowitcher                   | 58
Trumpeter Swan                           | 57
Semipalmated Plover                      | 54
Solitary Sandpiper                       | 54
Ruby-throated Hummingbird                | 53
Blue-gray Gnatcatcher                    | 53
Field Sparrow                            | 53
Eastern Meadowlark                       | 53
Black-capped Chickadee                   | 51
Indigo Bunting                           | 51
Northern Flicker                         | 50
Northern House Wren                      | 50
Baltimore Oriole                         | 50
Eastern Bluebird                         | 49
Osprey                                   | 46
Gray Catbird                             | 45
Green Heron                              | 44
Warbling Vireo                           | 43
Yellow Warbler                           | 41
Red-bellied Woodpecker                   | 40
American Kestrel                         | 39
Eastern Phoebe                           | 39
Greater Yellowlegs                       | 39
Great Crested Flycatcher                 | 39
Red-eyed Vireo                           | 38
White-breasted Nuthatch                  | 37
Downy Woodpecker                         | 35
Red-tailed Hawk                          | 34
Piping Plover                            | 34
Hairy Woodpecker                         | 34
Bald Eagle                               | 34
Cooper's Hawk                            | 32
Baird's Sandpiper                        | 32
Belted Kingfisher                        | 32
Marsh Wren                               | 32
Peregrine Falcon                         | 30
Wild Turkey                              | 30
Tennessee Warbler                        | 29
Carolina Wren                            | 29
Red-shouldered Hawk                      | 29
Pied-billed Grebe                        | 29
Eastern Towhee                           | 27
Merlin                                   | 26
Cape May Warbler                         | 26
American Redstart                        | 25
Least Flycatcher                         | 24
Tufted Titmouse                          | 23
Pileated Woodpecker                      | 23
Northern Waterthrush                     | 23
Willow Flycatcher                        | 22
Sedge Wren                               | 22
Swainson's Thrush                        | 22
Black-and-white Warbler                  | 22
Hooded Merganser                         | 21
Green-winged Teal                        | 21
Bay-breasted Warbler                     | 21
Olive-sided Flycatcher                   | 20
Grasshopper Sparrow                      | 20
